Title,House_address,Area,House_layout,Rent
整租·睿力上城 2室2厅 南/北,观山湖区,90.00㎡,2室2厅1卫,2000 元/月
,,,,
合租·华颐蓝天 4居室 南卧,白云区,17.00㎡,4室0厅1卫,960 元/月
,,,,
整租·万科富中翡翠传奇森林公园 2室1厅 东南,云岩区,60.00㎡,2室1厅1卫,1700 元/月
,,,,
合租·新世界御湖 4居室 南卧,观山湖区,6.00㎡,4室1厅2卫,720 元/月
,,,,
整租·东泓福源国际 2室1厅 东/西,南明区,69.00㎡,2室1厅1卫,1700 元/月
,,,,
合租·金谷苑 4居室 南卧,观山湖区,7.00㎡,4室1厅2卫,600 元/月
,,,,
整租·中山公馆 3室2厅 东,南明区,137.00㎡,3室2厅2卫,2300 元/月
,,,,
合租·奥林花园 5居室 南卧,观山湖区,15.00㎡,5室1厅2卫,1080 元/月
,,,,
整租·宝山北路409号 2室1厅 南,云岩区,73.00㎡,2室1厅1卫,1200 元/月
,,,,
合租·中铁逸都国际C区 5居室 南卧,观山湖区,10.00㎡,5室1厅2卫,1197 元/月
,,,,
整租·阳光100 2室2厅 南/北,南明区,94.40㎡,2室2厅1卫,1800 元/月
,,,,
合租·观府壹号二组团 4居室 南卧,观山湖区,18.00㎡,4室1厅1卫,1125 元/月
,,,,
整租·滨湖俊园 3室2厅 西南,观山湖区,105.00㎡,3室2厅1卫,2600 元/月
,,,,
合租·帝璟佳苑 4居室 南卧,白云区,10.00㎡,4室1厅2卫,944 元/月
,,,,
整租·汇景苑 3室2厅 西北,花溪区,136.00㎡,3室2厅2卫,1400 元/月
,,,,
整租·百花新苑 2室2厅 西南,云岩区,85.00㎡,2室2厅1卫,1600 元/月
,,,,
整租·森林之家 3室2厅 东/西,南明区,121.54㎡,3室2厅1卫,800 元/月
,,,,
合租·云凯熙园 4居室 东卧,花溪区,25.00㎡,4室1厅2卫,1044 元/月
,,,,
整租·花果园U区 2室2厅 南,南明区,80.00㎡,2室2厅1卫,2000 元/月
,,,,
整租·恒森自在城 1室1厅 南/北,花溪区,40.00㎡,1室1厅1卫,1200 元/月
,,,,
整租·新苑小区 4室1厅 东南,云岩区,110.00㎡,4室1厅1卫,2200 元/月
,,,,
合租·未来方舟H2组团 5居室 西北卧,云岩区,13.00㎡,5室2厅2卫,1080 元/月
,,,,
整租·融创九樾府B区 4室2厅 南/北,观山湖区,145.00㎡,4室2厅2卫,4000 元/月
,,,,
合租·华颐春天 5居室 南卧,白云区,16.00㎡,5室2厅2卫,960 元/月
,,,,
整租·米兰春天三期 3室2厅 南/北,白云区,95.00㎡,3室2厅1卫,1600 元/月
,,,,
合租·贵阳宇虹万花城 5居室 南卧,观山湖区,13.00㎡,5室1厅2卫,640 元/月
,,,,
整租·富茂轩 4室2厅 南,观山湖区,166.00㎡,4室2厅2卫,5200 元/月
,,,,
合租·中建华府(鹿冲关路) 4居室 南卧,云岩区,7.00㎡,4室1厅2卫,702 元/月
,,,,
整租·变维小区 3室2厅 跃层 东/西,云岩区,140.00㎡,3室2厅2卫,2300 元/月
,,,,
合租·恒森自在城 5居室 南卧,花溪区,6.00㎡,5室1厅2卫,720 元/月
,,,,
整租·睿力上城 2室2厅 南/北,观山湖区,90.00㎡,2室2厅1卫,2000 元/月
,,,,
合租·万科新都荟 5居室 南卧,云岩区,18.00㎡,5室1厅2卫,1035 元/月
,,,,
整租·万科富中翡翠传奇森林公园 2室1厅 东南,云岩区,60.00㎡,2室1厅1卫,1700 元/月
,,,,
合租·新世界御湖 4居室 南卧,观山湖区,6.00㎡,4室1厅2卫,720 元/月
,,,,
整租·东泓福源国际 2室1厅 东/西,南明区,69.00㎡,2室1厅1卫,1700 元/月
,,,,
合租·金谷苑 4居室 南卧,观山湖区,7.00㎡,4室1厅2卫,600 元/月
,,,,
整租·中山公馆 3室2厅 东,南明区,137.00㎡,3室2厅2卫,2300 元/月
,,,,
合租·奥林花园 5居室 南卧,观山湖区,15.00㎡,5室1厅2卫,1080 元/月
,,,,
整租·宝山北路409号 2室1厅 南,云岩区,73.00㎡,2室1厅1卫,1200 元/月
,,,,
合租·中铁逸都国际C区 5居室 南卧,观山湖区,10.00㎡,5室1厅2卫,1197 元/月
,,,,
整租·阳光100 2室2厅 南/北,南明区,94.40㎡,2室2厅1卫,1800 元/月
,,,,
合租·观府壹号二组团 4居室 南卧,观山湖区,18.00㎡,4室1厅1卫,1125 元/月
,,,,
整租·滨湖俊园 3室2厅 西南,观山湖区,105.00㎡,3室2厅1卫,2600 元/月
,,,,
合租·帝璟佳苑 4居室 南卧,白云区,10.00㎡,4室1厅2卫,944 元/月
,,,,
整租·汇景苑 3室2厅 西北,花溪区,136.00㎡,3室2厅2卫,1400 元/月
,,,,
整租·百花新苑 2室2厅 西南,云岩区,85.00㎡,2室2厅1卫,1600 元/月
,,,,
整租·森林之家 3室2厅 东/西,南明区,121.54㎡,3室2厅1卫,800 元/月
,,,,
合租·云凯熙园 4居室 东卧,花溪区,25.00㎡,4室1厅2卫,1044 元/月
,,,,
整租·花果园U区 2室2厅 南,南明区,80.00㎡,2室2厅1卫,2000 元/月
,,,,
整租·恒森自在城 1室1厅 南/北,花溪区,40.00㎡,1室1厅1卫,1200 元/月
,,,,
整租·新苑小区 4室1厅 东南,云岩区,110.00㎡,4室1厅1卫,2200 元/月
,,,,
合租·未来方舟H2组团 5居室 西北卧,云岩区,13.00㎡,5室2厅2卫,1080 元/月
,,,,
整租·融创九樾府B区 4室2厅 南/北,观山湖区,145.00㎡,4室2厅2卫,4000 元/月
,,,,
合租·华颐春天 5居室 南卧,白云区,16.00㎡,5室2厅2卫,960 元/月
,,,,
整租·米兰春天三期 3室2厅 南/北,白云区,95.00㎡,3室2厅1卫,1600 元/月
,,,,
合租·贵阳宇虹万花城 5居室 南卧,观山湖区,13.00㎡,5室1厅2卫,640 元/月
,,,,
整租·富茂轩 4室2厅 南,观山湖区,166.00㎡,4室2厅2卫,5200 元/月
,,,,
合租·中建华府(鹿冲关路) 4居室 南卧,云岩区,7.00㎡,4室1厅2卫,702 元/月
,,,,
整租·变维小区 3室2厅 跃层 东/西,云岩区,140.00㎡,3室2厅2卫,2300 元/月
,,,,
